IdHaulStage,CycleStage,Date,Time,TimeZone,IdHaul,Weight,IdHaulGroup,ProductName,TruckAssetNumber,TruckMakeName,TruckModelName,LoaderAssetNumber,LoaderMakeName,LoaderModelName,LoaderStatus,LocationSource,LocationDump,LocationLoad,Comments,NameFirst,NameLast,Shift
4,6,2025-02-16,22:30:00,MST,7009,85.50581515725946,1,Tailings,745,Liebherr,6810,39,CAT,777D,Maintenance,Pit 1,Pit 1,Waste Pile A,,Robert,Moore,Evening
4,9,2025-01-06,16:33:00,MST,7293,85.51423431809758,3,D&E,124,Komatsu,777D,33,Liebherr,777D,Operating,Waste Pile B,Pit 1,Waste Pile A,,Ashley,Thomas,Afternoon
2,9,2025-01-06,20:21:00,MST,9655,136.91332767662902,2,Waste Rock,953,CAT,6810,61,Komatsu,T282E,Operating,Waste Pile B,Pit 1,Pit 2,,Jessica,Taylor,Afternoon
4,1,2025-02-27,14:55:00,MST,7086,198.45302409922,2,Tailings,131,Liebherr,777D,50,Komatsu,777D,Operating,Waste Pile B,Waste Pile A,Pit 1,,Ben,Johnson,Morning
4,3,2025-01-01,14:04:00,MST,2633,69.40154690864006,2,Waste Rock,422,Liebherr,6810,99,Komatsu,777D,Operating,Waste Pile B,Pit 1,Pit 2,,Ben,Johnson,Morning
5,5,2025-04-21,09:09:00,MST,3174,102.01232999524339,1,D&E,481,CAT,T282E,44,CAT,T282E,Idle,Waste Pile A,Waste Pile A,Pit 1,,Daniel,Anderson,Morning
4,1,2025-02-15,04:56:00,MST,8216,69.49752031725158,2,D&E,830,Liebherr,777D,90,CAT,T282E,Operating,Pit 2,Pit 2,Waste Pile B,vent is off,Maria,Williams,Night
1,5,2025-03-23,19:24:00,MST,4345,76.74763395174476,1,D&E,932,CAT,777D,68,CAT,6810,Idle,Pit 2,Pit 2,Pit 2,,David,Brown,Afternoon
5,6,2025-01-29,13:35:00,MST,7255,97.16105234981882,1,D&E,669,CAT,6810,29,CAT,6810,Operating,Waste Pile B,Pit 2,Waste Pile A,,Daniel,Anderson,Morning
3,5,2025-01-06,09:24:00,MST,9978,116.27722142821507,2,Copper Ore,107,Komatsu,777D,68,Komatsu,777D,Idle,Waste Pile A,Pit 2,Pit 1,,Robert,Moore,Morning
5,9,2025-03-29,18:29:00,MST,4277,124.35682517257327,3,D&E,904,Liebherr,777D,4,Komatsu,T282E,Idle,Pit 2,Pit 2,Waste Pile A,,Emily,Wilson,Afternoon
5,9,2025-02-17,12:29:00,MST,1778,198.05941899818762,3,Waste Rock,585,Komatsu,6810,88,Liebherr,6810,Operating,Pit 2,Waste Pile B,Pit 1,,Maria,Williams,Morning
5,10,2025-06-26,18:02:00,MST,8225,79.75209070801849,3,Copper Ore,772,CAT,6810,75,Liebherr,777D,Operating,Waste Pile B,Waste Pile A,Pit 1,,Daniel,Anderson,Afternoon
1,6,2025-03-02,16:07:00,MST,5028,143.89508958921704,3,D&E,958,Liebherr,777D,88,CAT,777D,Operating,Pit 1,Waste Pile B,Pit 1,,Daniel,Anderson,Afternoon
2,3,2025-03-07,17:00:00,MST,5054,167.5268640782125,1,Tailings,686,CAT,6810,72,Liebherr,6810,Operating,Pit 1,Waste Pile A,Waste Pile B,,Ben,Johnson,Afternoon
2,7,2025-05-07,21:23:00,MST,9365,101.65044139854686,2,Tailings,594,Liebherr,T282E,10,CAT,T282E,Idle,Pit 2,Pit 2,Waste Pile B,,Emily,Wilson,Evening
5,4,2025-06-12,03:05:00,MST,5086,68.97700630805312,3,Waste Rock,479,CAT,777D,91,Komatsu,T282E,Idle,Waste Pile B,Pit 1,Waste Pile A,,Daniel,Anderson,Night
4,1,2025-04-20,04:28:00,MST,8885,124.52620612825065,2,Copper Ore,438,Liebherr,777D,11,Komatsu,T282E,Idle,Waste Pile A,Pit 1,Pit 1,,Robert,Moore,Night
3,4,2025-05-30,12:30:00,MST,5094,118.09866634358825,1,Waste Rock,720,Liebherr,T282E,18,Liebherr,6810,Idle,Pit 2,Waste Pile A,Waste Pile B,water from rain,Ashley,Thomas,Morning
4,3,2025-04-11,14:20:00,MST,1193,62.47204293786667,1,Tailings,817,CAT,6810,78,Liebherr,777D,Idle,Pit 2,Pit 1,Waste Pile B,,Daniel,Anderson,Morning
3,9,2025-02-04,18:17:00,MST,3339,112.56444264202891,2,D&E,871,CAT,6810,33,Komatsu,6810,Maintenance,Pit 2,Pit 2,Pit 2,,Sarah,Davis,Afternoon
5,5,2025-02-27,07:17:00,MST,8926,99.18094280946696,1,Waste Rock,166,Liebherr,777D,23,Liebherr,6810,Idle,Waste Pile A,Waste Pile A,Waste Pile B,,Ashley,Thomas,Morning
4,2,2025-02-13,07:31:00,MST,6177,146.45422234977326,3,Copper Ore,831,CAT,T282E,16,CAT,777D,Idle,Pit 1,Waste Pile B,Waste Pile A,,David,Brown,Morning
2,3,2025-03-31,09:37:00,MST,4814,115.07177243472796,3,Tailings,285,Komatsu,T282E,93,CAT,6810,Maintenance,Waste Pile A,Waste Pile B,Waste Pile A,,Robert,Moore,Morning
3,2,2025-04-13,04:18:00,MST,8145,194.83976560955898,3,D&E,279,Liebherr,T282E,9,Liebherr,777D,Idle,Pit 2,Pit 2,Waste Pile B,,Jessica,Taylor,Night
2,1,2025-04-11,13:41:00,MST,6758,190.48805072737787,3,Copper Ore,746,CAT,T282E,77,Liebherr,777D,Operating,Pit 1,Pit 2,Pit 1,,David,Brown,Morning
4,8,2025-03-02,04:03:00,MST,8851,110.2036132170155,1,D&E,475,CAT,777D,25,CAT,6810,Maintenance,Pit 2,Pit 2,Waste Pile A,,Jessica,Taylor,Night
5,6,2025-06-07,07:01:00,MST,6555,81.55795236413478,1,D&E,294,CAT,6810,15,CAT,6810,Maintenance,Pit 2,Pit 1,Waste Pile A,,Daniel,Anderson,Morning
1,3,2025-03-17,18:17:00,MST,9396,96.72627724848186,2,Tailings,106,Liebherr,6810,50,Komatsu,T282E,Operating,Waste Pile B,Waste Pile B,Pit 2,,Maria,Williams,Afternoon
2,4,2025-04-04,23:41:00,MST,2869,100.30765568741555,3,Waste Rock,734,Liebherr,T282E,20,CAT,6810,Idle,Pit 1,Waste Pile B,Waste Pile B,,Emily,Wilson,Night
5,4,2025-04-12,19:35:00,MST,6347,100.01318959032528,3,Tailings,189,Komatsu,777D,95,Komatsu,T282E,Maintenance,Waste Pile A,Waste Pile B,Waste Pile B,,Daniel,Anderson,Afternoon
3,8,2025-03-27,05:08:00,MST,3391,146.7896288431665,3,Copper Ore,835,Komatsu,T282E,38,Liebherr,T282E,Idle,Pit 1,Waste Pile B,Pit 1,,David,Brown,Night
1,10,2025-02-16,10:47:00,MST,3341,125.92694232291605,1,Waste Rock,493,Komatsu,777D,22,CAT,6810,Operating,Pit 1,Waste Pile A,Waste Pile A,,Maria,Williams,Morning
1,6,2025-01-10,14:21:00,MST,6476,185.94340004944388,3,Tailings,939,Komatsu,T282E,63,CAT,6810,Idle,Waste Pile B,Waste Pile B,Pit 2,,Jessica,Taylor,Morning
3,7,2025-06-11,16:52:00,MST,1181,121.37837763109027,2,Tailings,868,CAT,T282E,38,CAT,6810,Idle,Pit 1,Waste Pile A,Pit 2,,Ben,Johnson,Afternoon
4,2,2025-06-09,05:51:00,MST,7810,137.30259512026913,2,Tailings,508,Komatsu,6810,83,CAT,T282E,Maintenance,Pit 1,Pit 2,Waste Pile A,,Emily,Wilson,Night
4,5,2025-04-06,04:52:00,MST,7125,64.48986386495378,2,D&E,699,Liebherr,6810,64,Liebherr,T282E,Maintenance,Pit 2,Waste Pile B,Waste Pile B,,Ben,Johnson,Night
3,9,2025-06-14,09:17:00,MST,7957,188.52412197294709,3,Waste Rock,426,Komatsu,T282E,12,CAT,777D,Maintenance,Waste Pile A,Waste Pile A,Waste Pile A,,Daniel,Anderson,Morning
2,9,2025-03-14,03:35:00,MST,6239,89.00375072314007,3,Copper Ore,266,CAT,777D,48,CAT,T282E,Operating,Waste Pile B,Pit 2,Pit 2,,David,Brown,Night
4,4,2025-02-01,00:54:00,MST,4934,152.02004530713322,2,D&E,431,Komatsu,T282E,90,Komatsu,6810,Maintenance,Waste Pile B,Pit 2,Pit 1,,Emily,Wilson,Night
5,8,2025-04-02,15:25:00,MST,1242,197.95972517599083,1,Waste Rock,218,Komatsu,777D,99,Komatsu,T282E,Maintenance,Pit 1,Pit 2,Pit 2,,David,Brown,Afternoon
1,1,2025-01-22,20:48:00,MST,3903,122.34985536422244,2,Copper Ore,605,Liebherr,6810,85,Komatsu,T282E,Operating,Waste Pile A,Waste Pile B,Waste Pile A,,Robert,Moore,Afternoon
2,10,2025-02-28,07:57:00,MST,1581,149.79561782283525,1,Copper Ore,523,CAT,T282E,26,Liebherr,T282E,Maintenance,Waste Pile A,Pit 2,Pit 1,,Michael,Miller,Morning
3,2,2025-03-02,04:48:00,MST,4565,67.83770499999869,1,Tailings,333,CAT,777D,48,Komatsu,6810,Maintenance,Pit 2,Pit 2,Pit 1,,Daniel,Anderson,Night
2,7,2025-06-21,06:48:00,MST,2399,186.1094813804226,3,Copper Ore,911,Komatsu,777D,34,CAT,777D,Operating,Waste Pile A,Waste Pile A,Pit 1,,Maria,Williams,Morning
5,8,2025-04-23,14:13:00,MST,1701,145.55549019021356,2,D&E,952,CAT,6810,81,CAT,777D,Operating,Waste Pile A,Waste Pile B,Pit 2,,Jessica,Taylor,Morning
3,2,2025-02-20,04:10:00,MST,6255,163.36926364334127,3,Tailings,490,CAT,6810,47,CAT,T282E,Idle,Pit 1,Pit 2,Waste Pile B,,Michael,Miller,Night
3,8,2025-06-30,17:22:00,MST,9665,146.08693416010584,2,Copper Ore,973,CAT,777D,35,Komatsu,777D,Idle,Waste Pile B,Pit 2,Waste Pile B,,Ashley,Thomas,Afternoon
5,3,2025-04-25,21:29:00,MST,2629,123.52451864747937,3,Copper Ore,222,CAT,T282E,1,Komatsu,T282E,Operating,Waste Pile A,Waste Pile B,Pit 1,,Michael,Miller,Evening
3,4,2025-03-10,03:39:00,MST,3498,186.68664136186368,3,D&E,654,CAT,6810,73,CAT,T282E,Idle,Waste Pile B,Pit 1,Pit 1,,Daniel,Anderson,Night
3,2,2025-04-11,17:16:00,MST,5358,73.9762003617368,2,Copper Ore,888,Liebherr,T282E,13,Komatsu,T282E,Idle,Pit 2,Pit 2,Waste Pile B,,Ben,Johnson,Afternoon
4,3,2025-01-01,02:09:00,MST,5156,166.05595744311972,1,Copper Ore,477,CAT,6810,67,Liebherr,777D,Maintenance,Waste Pile B,Waste Pile A,Pit 2,,Jessica,Taylor,Night
5,4,2025-05-11,22:27:00,MST,7384,145.03724881807904,1,D&E,839,CAT,6810,87,Komatsu,T282E,Idle,Pit 2,Pit 1,Pit 1,,Ben,Johnson,Evening
3,6,2025-02-09,03:18:00,MST,7786,120.2217656371531,3,Waste Rock,756,Komatsu,777D,89,Liebherr,777D,Maintenance,Pit 2,Pit 1,Waste Pile B,,Robert,Moore,Night
3,10,2025-05-30,15:48:00,MST,2386,137.31124491320773,1,Copper Ore,949,Liebherr,6810,35,CAT,6810,Maintenance,Waste Pile A,Pit 1,Pit 1,,Daniel,Anderson,Afternoon
2,10,2025-03-02,11:35:00,MST,8951,66.58334951173768,3,D&E,176,Komatsu,777D,18,CAT,777D,Idle,Pit 1,Pit 1,Pit 2,,Sarah,Davis,Morning
1,7,2025-06-22,04:38:00,MST,7313,53.18324022586775,1,Tailings,747,Komatsu,6810,20,Komatsu,777D,Maintenance,Waste Pile A,Waste Pile B,Waste Pile A,water from rain,Emily,Wilson,Night
2,10,2025-05-16,20:17:00,MST,8037,179.2238938280047,3,Waste Rock,832,CAT,6810,4,CAT,6810,Operating,Pit 1,Waste Pile A,Pit 2,,Maria,Williams,Afternoon
5,1,2025-01-02,22:33:00,MST,4062,94.57208962113043,2,Waste Rock,175,CAT,6810,49,Liebherr,T282E,Idle,Pit 2,Waste Pile B,Waste Pile A,,Daniel,Anderson,Evening
1,9,2025-02-21,09:52:00,MST,1848,183.79634282911465,2,Copper Ore,370,CAT,6810,66,Komatsu,T282E,Operating,Waste Pile B,Waste Pile A,Pit 1,,Maria,Williams,Morning
1,3,2025-05-14,21:18:00,MST,9062,127.84076303475192,2,Copper Ore,766,CAT,777D,79,Liebherr,777D,Maintenance,Waste Pile B,Waste Pile B,Pit 2,,Ben,Johnson,Evening
1,7,2025-01-14,05:19:00,MST,3139,174.86067147681877,3,Copper Ore,185,Komatsu,6810,73,CAT,T282E,Idle,Waste Pile B,Pit 2,Waste Pile A,,Daniel,Anderson,Night
1,8,2025-03-26,15:52:00,MST,2617,187.14117093871457,1,Copper Ore,602,Liebherr,T282E,61,Komatsu,6810,Idle,Waste Pile B,Pit 1,Waste Pile B,,Daniel,Anderson,Afternoon
3,4,2025-05-01,10:05:00,MST,5440,164.3767998053188,2,Tailings,664,Liebherr,6810,71,CAT,777D,Maintenance,Pit 1,Waste Pile A,Waste Pile B,,Ashley,Thomas,Morning
5,1,2025-03-27,01:54:00,MST,5749,161.08008099340753,2,D&E,148,CAT,6810,18,Liebherr,T282E,Idle,Pit 2,Pit 1,Pit 1,,Maria,Williams,Night
1,6,2025-03-24,21:39:00,MST,5846,194.81217348142638,1,Tailings,364,Komatsu,6810,78,Liebherr,777D,Maintenance,Pit 2,Waste Pile A,Pit 2,,David,Brown,Evening
1,9,2025-06-03,14:09:00,MST,4945,62.8255592473066,3,Copper Ore,982,Komatsu,T282E,63,Liebherr,6810,Idle,Pit 2,Waste Pile B,Pit 2,,Maria,Williams,Morning
1,4,2025-02-09,05:37:00,MST,3041,138.929614601298,1,Copper Ore,325,Komatsu,777D,61,Liebherr,777D,Maintenance,Pit 1,Pit 2,Waste Pile B,,David,Brown,Night
3,6,2025-05-09,21:22:00,MST,4323,128.9975983280711,3,Copper Ore,936,Komatsu,777D,10,Komatsu,6810,Idle,Pit 1,Waste Pile A,Pit 1,,Emily,Wilson,Evening
4,3,2025-03-01,05:59:00,MST,1402,109.04412703314077,2,D&E,913,CAT,777D,10,Komatsu,777D,Operating,Waste Pile A,Pit 1,Pit 1,,Daniel,Anderson,Night
3,2,2025-06-05,01:07:00,MST,5661,196.32711391428447,3,Tailings,645,Komatsu,6810,43,Komatsu,T282E,Maintenance,Pit 1,Waste Pile A,Waste Pile B,,Robert,Moore,Night
5,3,2025-03-03,15:24:00,MST,5439,75.23477352251437,2,D&E,214,Komatsu,777D,46,Liebherr,6810,Maintenance,Pit 2,Waste Pile A,Pit 2,,Ashley,Thomas,Afternoon
3,3,2025-02-14,04:55:00,MST,3423,150.75476981282122,2,D&E,730,Komatsu,777D,21,Liebherr,6810,Operating,Waste Pile A,Pit 2,Pit 1,,Michael,Miller,Night
5,6,2025-01-16,20:37:00,MST,1325,112.31623118502002,1,Copper Ore,746,CAT,777D,61,CAT,6810,Idle,Pit 1,Pit 1,Pit 2,,Jessica,Taylor,Afternoon
1,9,2025-04-08,06:34:00,MST,4234,169.4404077293528,2,Tailings,956,CAT,6810,32,Komatsu,T282E,Operating,Pit 2,Waste Pile A,Pit 1,,Sarah,Davis,Morning
2,2,2025-04-03,00:16:00,MST,7204,108.21801667651894,1,Tailings,995,Komatsu,T282E,86,Liebherr,T282E,Maintenance,Waste Pile A,Pit 2,Pit 1,,Ben,Johnson,Night
3,4,2025-05-03,03:03:00,MST,6685,60.769569628280436,1,Tailings,897,Liebherr,777D,63,Liebherr,T282E,Maintenance,Pit 2,Pit 1,Pit 2,,Jessica,Taylor,Night
1,3,2025-05-24,10:02:00,MST,7185,148.02922972279515,3,Copper Ore,597,Liebherr,777D,10,Liebherr,6810,Operating,Waste Pile A,Waste Pile A,Waste Pile B,,Sarah,Davis,Morning
2,6,2025-04-15,11:43:00,MST,8671,117.35172090179789,1,Waste Rock,444,CAT,T282E,65,Komatsu,6810,Maintenance,Pit 1,Waste Pile B,Pit 2,,Ashley,Thomas,Morning
3,9,2025-05-05,04:29:00,MST,9474,181.27966853385442,2,Tailings,179,Komatsu,777D,60,Liebherr,6810,Operating,Waste Pile A,Pit 1,Waste Pile B,,Ashley,Thomas,Night
3,1,2025-06-29,02:33:00,MST,4307,68.10299224090556,3,Tailings,400,Komatsu,6810,54,Komatsu,6810,Idle,Pit 1,Waste Pile A,Waste Pile B,,Emily,Wilson,Night
3,6,2025-06-20,18:05:00,MST,1252,93.15896879294961,2,Waste Rock,744,Komatsu,6810,59,Liebherr,6810,Operating,Pit 1,Pit 2,Waste Pile B,,Maria,Williams,Afternoon
1,4,2025-03-27,11:37:00,MST,1614,136.120827221078,1,Copper Ore,191,Liebherr,777D,94,Komatsu,777D,Maintenance,Waste Pile A,Pit 2,Pit 1,,Jessica,Taylor,Morning
5,7,2025-04-02,03:34:00,MST,6147,176.8859777714752,3,Tailings,523,CAT,T282E,94,CAT,6810,Operating,Waste Pile B,Pit 2,Waste Pile B,,Sarah,Davis,Night
3,6,2025-03-22,17:53:00,MST,1185,130.19427399823462,2,D&E,663,Liebherr,6810,5,Komatsu,6810,Maintenance,Pit 1,Pit 2,Pit 1,,Jessica,Taylor,Afternoon
1,5,2025-05-11,23:59:00,MST,7233,146.61001747106332,3,Tailings,317,Liebherr,777D,40,Liebherr,T282E,Idle,Waste Pile B,Pit 2,Pit 1,,Michael,Miller,Night
2,5,2025-03-28,02:18:00,MST,9835,94.27057110829813,1,D&E,816,Komatsu,6810,87,CAT,6810,Idle,Waste Pile B,Waste Pile A,Waste Pile A,,Emily,Wilson,Night
3,5,2025-02-03,17:33:00,MST,9980,91.39879795909984,1,Waste Rock,640,CAT,6810,92,CAT,6810,Maintenance,Pit 1,Pit 2,Waste Pile B,,Ashley,Thomas,Afternoon
2,6,2025-04-13,01:43:00,MST,4850,99.2037920274947,3,D&E,927,Komatsu,T282E,32,Komatsu,T282E,Maintenance,Pit 2,Pit 1,Pit 2,,Ben,Johnson,Night
5,5,2025-05-11,05:27:00,MST,2786,171.30630877743752,3,Tailings,569,Liebherr,T282E,73,CAT,T282E,Operating,Waste Pile B,Waste Pile A,Waste Pile A,,Maria,Williams,Night
1,9,2025-01-27,00:14:00,MST,6287,106.91117276363744,2,Waste Rock,796,CAT,777D,48,Komatsu,6810,Operating,Waste Pile A,Pit 2,Pit 1,,David,Brown,Night
2,5,2025-01-20,07:21:00,MST,5478,110.91015297845557,3,Waste Rock,187,CAT,6810,80,CAT,777D,Operating,Pit 1,Waste Pile A,Waste Pile A,,Jessica,Taylor,Morning
1,3,2025-04-09,00:00:00,MST,1912,99.65364038564329,2,D&E,453,Liebherr,6810,97,Liebherr,777D,Operating,Pit 2,Pit 2,Pit 1,,Ben,Johnson,Night
3,2,2025-03-20,06:55:00,MST,1331,116.50151198799017,1,D&E,560,Komatsu,6810,68,CAT,777D,Operating,Pit 1,Waste Pile B,Pit 1,,Michael,Miller,Morning
4,5,2025-04-11,22:24:00,MST,2658,177.2239852599173,1,Tailings,379,Komatsu,6810,19,CAT,6810,Idle,Waste Pile A,Waste Pile B,Pit 1,,Maria,Williams,Evening
4,7,2025-04-28,02:18:00,MST,9526,152.8977566998381,2,D&E,134,Liebherr,6810,2,Liebherr,777D,Operating,Waste Pile A,Waste Pile A,Pit 1,,Michael,Miller,Night
4,10,2025-05-04,19:59:00,MST,9512,163.83947861042338,3,D&E,276,Komatsu,6810,54,Komatsu,T282E,Idle,Pit 1,Waste Pile B,Waste Pile A,vent is off,Jessica,Taylor,Afternoon
1,4,2025-02-08,07:12:00,MST,2704,117.96850443946286,1,Copper Ore,558,Komatsu,T282E,93,Komatsu,777D,Idle,Waste Pile B,Pit 1,Waste Pile B,,Ben,Johnson,Morning
1,10,2025-04-17,18:39:00,MST,5562,121.75990882792435,3,Copper Ore,420,CAT,T282E,43,Liebherr,6810,Maintenance,Waste Pile B,Waste Pile B,Pit 2,,Daniel,Anderson,Afternoon
3,7,2025-03-31,16:27:00,MST,9563,65.61440540271666,3,Waste Rock,542,CAT,T282E,33,CAT,6810,Maintenance,Waste Pile A,Pit 2,Waste Pile A,,Ashley,Thomas,Afternoon
1,2,2025-05-31,20:11:00,MST,8795,65.8787163711439,2,Waste Rock,369,Komatsu,6810,86,Liebherr,6810,Operating,Pit 2,Pit 2,Waste Pile A,,Michael,Miller,Afternoon
1,3,2025-05-29,00:56:00,MST,7751,164.70171654586593,1,D&E,378,CAT,6810,70,Liebherr,6810,Idle,Pit 2,Pit 1,Waste Pile A,,Emily,Wilson,Night
1,4,2025-06-09,07:34:00,MST,6152,70.2110359088377,2,Copper Ore,261,Liebherr,T282E,83,Komatsu,6810,Idle,Waste Pile A,Pit 2,Pit 2,,Maria,Williams,Morning
3,7,2025-06-30,19:11:00,MST,4569,146.76720355674516,3,Copper Ore,759,CAT,777D,38,Komatsu,777D,Operating,Waste Pile B,Pit 1,Pit 2,,Ben,Johnson,Afternoon
2,2,2025-01-10,14:30:00,MST,8563,160.37706058170087,3,D&E,252,Komatsu,T282E,44,Komatsu,777D,Maintenance,Waste Pile B,Pit 1,Pit 1,,Sarah,Davis,Morning
5,1,2025-04-10,02:02:00,MST,1754,187.35807841255047,2,Waste Rock,874,CAT,777D,88,CAT,777D,Operating,Waste Pile A,Pit 1,Pit 2,,David,Brown,Night
1,7,2025-06-25,10:00:00,MST,2680,156.98546394600012,2,Waste Rock,429,Komatsu,777D,25,Liebherr,6810,Idle,Pit 1,Pit 1,Waste Pile B,,Daniel,Anderson,Morning
